user_id,login_hour,session_duration,ip_address,failed_attempts,day_of_week,event_type,timestamp,predicted_anomaly,anomaly_score
user_6,13,2,192.168.1.244,4,4,login,2025-03-15 13:37:37.140207,0,0.03970606784382502
user_5,20,97,192.168.1.150,3,3,login,2025-04-04 20:07:37.157320,0,0.05868030778829164
user_9,2,10,192.168.1.57,1,4,login,2025-03-16 02:04:37.157320,0,0.050628642343533925
user_6,7,70,192.168.1.65,0,1,logout,2025-03-14 07:01:37.151229,0,0.021321982775073245
user_5,5,16,192.168.1.241,0,2,login,2025-04-07 05:09:37.131183,0,0.020653519232729955
user_2,11,93,192.168.1.234,1,2,logout,2025-03-18 11:36:37.152309,0,0.06805005135372866
user_5,13,15,192.168.1.6,0,2,logout,2025-04-03 13:36:37.148224,0,0.04380967913670786
user_8,16,98,192.168.1.160,2,3,login,2025-03-28 16:52:37.139205,0,0.06779626196290367
user_10,9,8,192.168.1.29,3,5,login,2025-03-31 09:01:37.166336,0,0.06002526671495334
user_10,1,180,192.168.1.100,1,1,login,2025-04-08 01:53:37.109534,1,-0.07047433420511295
user_8,19,58,192.168.1.49,1,5,login,2025-04-02 19:00:37.162329,0,0.06149544502533272
user_8,0,1,192.168.1.224,2,1,login,2025-03-17 08:17:37.103511,0,0.00877773073395749
user_7,16,113,192.168.1.160,3,6,login,2025-04-10 16:30:37.149226,0,0.00899381450423875
user_5,19,97,192.168.1.141,3,2,login,2025-03-31 19:37:37.175416,0,0.05973097186325099
user_6,18,96,192.168.1.148,1,4,logout,2025-03-19 18:28:37.172408,0,0.050699033711645136
user_4,0,78,192.168.1.95,2,1,login,2025-03-30 00:13:37.169403,0,0.015662332895323594
user_4,7,49,192.168.1.99,3,0,login,2025-03-30 07:46:37.121150,0,0.059628800819813865
user_8,5,93,192.168.1.201,0,3,logout,2025-03-23 05:21:37.168401,0,0.04047021303159304
user_4,6,116,192.168.1.201,4,4,login,2025-03-31 06:32:37.158322,0,0.040385988723484756
user_1,14,54,192.168.1.154,4,6,login,2025-03-30 14:47:37.124170,0,0.043298176461722626
user_9,21,8,192.168.1.215,3,0,login,2025-03-14 21:48:37.142210,1,-0.006294089502819844
user_8,1,1,192.168.1.35,3,1,login,2025-03-31 20:06:37.112540,0,0.028023325857122527
user_8,0,76,192.168.1.117,1,2,login,2025-04-03 00:53:37.128177,0,0.021213653666655174
user_3,21,111,192.168.1.245,3,3,login,2025-03-24 21:34:37.140207,0,0.03424059037659111
user_5,11,41,192.168.1.212,3,1,login,2025-03-20 11:08:37.116054,0,0.09267886423443084
user_4,23,89,192.168.1.141,3,5,logout,2025-03-30 23:21:37.118060,0,0.038731142561471255
user_3,2,91,192.168.1.122,7,1,login,2025-03-14 02:27:37.106529,1,-0.05622161330000963
user_2,4,41,192.168.1.60,3,0,login,2025-03-13 04:41:37.176469,0,0.05791614015723645
user_10,10,33,192.168.1.92,2,6,login,2025-04-03 10:35:37.169403,0,0.04312956686830993
user_2,21,16,192.168.1.238,2,4,login,2025-03-31 21:37:37.173410,0,0.04659967569760082
user_3,11,95,192.168.1.202,1,3,login,2025-04-08 11:37:37.126173,0,0.0833492586548395
user_8,19,72,192.168.1.78,9,6,login,2025-03-27 19:37:37.109534,1,-0.08023222367905647
user_5,21,22,192.168.1.173,1,3,login,2025-04-08 21:42:37.148224,0,0.03547242888883795
user_2,21,78,192.168.1.158,1,3,login,2025-03-21 21:36:37.138203,0,0.04730933944435434
user_4,6,112,192.168.1.76,2,2,login,2025-03-24 06:53:37.128177,0,0.049432263999408754
user_3,3,180,192.168.1.5,3,1,login,2025-03-24 08:08:37.115049,1,-0.05779552278157818
user_1,11,81,192.168.1.43,2,4,login,2025-04-07 11:28:37.153311,0,0.095882956077804
user_1,5,57,192.168.1.175,0,2,login,2025-04-09 05:48:37.145216,0,0.030154219345217448
user_8,9,84,192.168.1.73,3,3,login,2025-03-15 09:55:37.169403,0,0.08612521956756275
user_4,9,4,192.168.1.134,5,2,login,2025-03-19 09:47:37.102509,0,0.027654869186669262
user_5,11,93,192.168.1.161,1,4,login,2025-03-25 11:40:37.125171,0,0.07644685193339007
